date,dates,rank,song,artist
03/10/1960,01/10/1960,14,I Want To Be Wanted,Brenda Lee
03/10/1960,01/10/1960,15,Volare,Bobby Rydell
07/11/1960,01/11/1960,1,Save The Last Dance For Me,The Drifters
07/11/1960,01/11/1960,2,I Want To Be Wanted,Brenda Lee
07/11/1960,01/11/1960,3,Poetry In Motion,Johnny Tillotson
07/11/1960,01/11/1960,4,Georgia On My Mind,Ray Charles
07/11/1960,01/11/1960,5,You Talk Too Much,Joe Jones
07/11/1960,01/11/1960,6,My Heart Has A Mind Of Its Own,Connie Francis
07/11/1960,01/11/1960,7,Stay,Maurice Williams & The Zodiacs
07/11/1960,01/11/1960,8,"Let's Go, Let's Go, Let's Go",Hank Ballard And The Midnighters
07/11/1960,01/11/1960,9,Blue Angel,Roy Orbison
07/11/1960,01/11/1960,10,Devil Or Angel,Bobby Vee
07/11/1960,01/11/1960,11,Don't Be Cruel,Bill Black's Combo
07/11/1960,01/11/1960,12,Chain Gang,Sam Cooke
07/11/1960,01/11/1960,13,Let's Think About Living,Bob Luman
07/11/1960,01/11/1960,14,Sleep,Little Willie John
07/11/1960,01/11/1960,15,Summer's Gone,Paul Anka
05/12/1960,01/12/1960,1,Are You Lonesome To-night?,Elvis Presley With The Jordanaires
05/12/1960,01/12/1960,2,Last Date,Floyd Cramer
05/12/1960,01/12/1960,3,Poetry In Motion,Johnny Tillotson
05/12/1960,01/12/1960,4,Stay,Maurice Williams & The Zodiacs
05/12/1960,01/12/1960,5,A Thousand Stars,Kathy Young With The Innocents
05/12/1960,01/12/1960,6,North To Alaska,Johnny Horton
05/12/1960,01/12/1960,7,He Will Break Your Heart,Jerry Butler
05/12/1960,01/12/1960,8,New Orleans,U.S. Bonds
05/12/1960,01/12/1960,9,Sailor (Your Home Is The Sea),Lolita
05/12/1960,01/12/1960,10,"Let's Go, Let's Go, Let's Go",Hank Ballard And The Midnighters
05/12/1960,01/12/1960,11,Many Tears Ago,Connie Francis
05/12/1960,01/12/1960,12,Alone At Last,Jackie Wilson
05/12/1960,01/12/1960,13,Wonderland By Night,Bert Kaempfert And His Orchestra
05/12/1960,01/12/1960,14,My Girl Josephine,Fats Domino
05/12/1960,01/12/1960,15,Georgia On My Mind,Ray Charles
02/01/1961,01/01/1961,1,Are You Lonesome To-night?,Elvis Presley With The Jordanaires
02/01/1961,01/01/1961,2,Wonderland By Night,Bert Kaempfert And His Orchestra
02/01/1961,01/01/1961,3,Last Date,Floyd Cramer
02/01/1961,01/01/1961,4,Exodus,Ferrante & Teicher
02/01/1961,01/01/1961,5,A Thousand Stars,Kathy Young With The Innocents
02/01/1961,01/01/1961,6,North To Alaska,Johnny Horton
02/01/1961,01/01/1961,7,Many Tears Ago,Connie Francis
02/01/1961,01/01/1961,8,You're Sixteen,Johnny Burnette
02/01/1961,01/01/1961,9,Angel Baby,Rosie And The Originals
02/01/1961,01/01/1961,10,"Corinna, Corinna",Ray Peterson
02/01/1961,01/01/1961,11,Rubber Ball,Bobby Vee
02/01/1961,01/01/1961,12,Sailor (Your Home Is The Sea),Lolita
02/01/1961,01/01/1961,13,He Will Break Your Heart,Jerry Butler
02/01/1961,01/01/1961,14,Will You Love Me Tomorrow,The Shirelles
02/01/1961,01/01/1961,15,Lonely Teenager,Dion
06/02/1961,01/02/1961,1,Will You Love Me Tomorrow,The Shirelles
06/02/1961,01/02/1961,2,Calcutta,Lawrence Welk And His Orchestra
06/02/1961,01/02/1961,3,Exodus,Ferrante & Teicher
06/02/1961,01/02/1961,4,Shop Around,"The Miracles (featuring Bill ""Smokey"" Robinson)"
06/02/1961,01/02/1961,5,Calendar Girl,Neil Sedaka
06/02/1961,01/02/1961,6,Wonderland By Night,Bert Kaempfert And His Orchestra
06/02/1961,01/02/1961,7,Angel Baby,Rosie And The Originals
06/02/1961,01/02/1961,8,Emotions,Brenda Lee
06/02/1961,01/02/1961,9,My Empty Arms,Jackie Wilson
06/02/1961,01/02/1961,10,Rubber Ball,Bobby Vee
06/02/1961,01/02/1961,11,Are You Lonesome To-night?,Elvis Presley With The Jordanaires
06/02/1961,01/02/1961,12,Once In Awhile,The Chimes
06/02/1961,01/02/1961,13,Wings Of A Dove,Ferlin Husky
06/02/1961,01/02/1961,14,"Corinna, Corinna",Ray Peterson
06/02/1961,01/02/1961,15,Pony Time,Chubby Checker
06/03/1961,01/03/1961,1,Pony Time,Chubby Checker
06/03/1961,01/03/1961,2,Surrender,Elvis Presley With The Jordanaires
06/03/1961,01/03/1961,3,Wheels,The String-A-Longs
06/03/1961,01/03/1961,4,Don't Worry,Marty Robbins
06/03/1961,01/03/1961,5,Where The Boys Are,Connie Francis
06/03/1961,01/03/1961,6,Calcutta,Lawrence Welk And His Orchestra
06/03/1961,01/03/1961,7,Baby Sittin' Boogie,Buzz Clifford
06/03/1961,01/03/1961,8,Dedicated To The One I Love,The Shirelles
06/03/1961,01/03/1961,9,There's A Moon Out Tonight,The Capris
06/03/1961,01/03/1961,10,Ebony Eyes,The Everly Brothers
06/03/1961,01/03/1961,11,Good Time Baby,Bobby Rydell
06/03/1961,01/03/1961,12,You Can Have Her,Roy Hamilton
06/03/1961,01/03/1961,13,Spanish Harlem,Ben E. King
06/03/1961,01/03/1961,14,Shop Around,"The Miracles (featuring Bill ""Smokey"" Robinson)"
06/03/1961,01/03/1961,15,Apache,Jorgen Ingmann & His Guitar
03/04/1961,01/04/1961,1,Blue Moon,The Marcels
03/04/1961,01/04/1961,2,Apache,Jorgen Ingmann & His Guitar
03/04/1961,01/04/1961,3,Surrender,Elvis Presley With The Jordanaires
03/04/1961,01/04/1961,4,Pony Time,Chubby Checker
03/04/1961,01/04/1961,5,Dedicated To The One I Love,The Shirelles
03/04/1961,01/04/1961,6,Don't Worry,Marty Robbins
03/04/1961,01/04/1961,7,On The Rebound,Floyd Cramer
03/04/1961,01/04/1961,8,Walk Right Back,The Everly Brothers
03/04/1961,01/04/1961,9,Runaway,Del Shannon
03/04/1961,01/04/1961,10,But I Do,Clarence Henry
03/04/1961,01/04/1961,11,Think Twice,Brook Benton
03/04/1961,01/04/1961,12,Wheels,The String-A-Longs
03/04/1961,01/04/1961,13,Asia Minor,Kokomo
03/04/1961,01/04/1961,14,Gee Whiz (Look At His Eyes),Carla Thomas
03/04/1961,01/04/1961,15,Where The Boys Are,Connie Francis
01/05/1961,01/05/1961,1,Runaway,Del Shannon
01/05/1961,01/05/1961,2,Mother-In-Law,Ernie K-Doe
01/05/1961,01/05/1961,3,I've Told Every Little Star,Linda Scott
01/05/1961,01/05/1961,4,A Hundred Pounds Of Clay,Gene McDaniels
01/05/1961,01/05/1961,5,Blue Moon,The Marcels
01/05/1961,01/05/1961,6,But I Do,Clarence Henry
01/05/1961,01/05/1961,7,Take Good Care Of Her,Adam Wade
01/05/1961,01/05/1961,8,One Mint Julep,Ray Charles
01/05/1961,01/05/1961,9,You Can Depend On Me,Brenda Lee
01/05/1961,01/05/1961,10,On The Rebound,Floyd Cramer
01/05/1961,01/05/1961,11,Portrait Of My Love,Steve Lawrence
01/05/1961,01/05/1961,12,Baby Blue,The Echoes
01/05/1961,01/05/1961,13,"Tonight My Love, Tonight",Paul Anka
01/05/1961,01/05/1961,14,Apache,Jorgen Ingmann & His Guitar
01/05/1961,01/05/1961,15,Daddy's Home,Shep And The Limelites
05/06/1961,01/06/1961,1,Running Scared,Roy Orbison
05/06/1961,01/06/1961,2,Travelin' Man,Ricky Nelson
05/06/1961,01/06/1961,3,Daddy's Home,Shep And The Limelites
05/06/1961,01/06/1961,4,Mama Said,The Shirelles
05/06/1961,01/06/1961,5,I Feel So Bad,Elvis Presley
05/06/1961,01/06/1961,6,Stand By Me,Ben E. King
05/06/1961,01/06/1961,7,Moody River,Pat Boone
05/06/1961,01/06/1961,8,A Hundred Pounds Of Clay,Gene McDaniels
05/06/1961,01/06/1961,9,Raindrops,Dee Clark
05/06/1961,01/06/1961,10,Breakin' In A Brand New Broken Heart,Connie Francis
05/06/1961,01/06/1961,11,Tragedy,The Fleetwoods
05/06/1961,01/06/1961,12,Hello Walls,Faron Young
05/06/1961,01/06/1961,13,Little Devil,Neil Sedaka
05/06/1961,01/06/1961,14,Hello Mary Lou,Ricky Nelson
05/06/1961,01/06/1961,15,Runaway,Del Shannon
03/07/1961,01/07/1961,1,Quarter To Three,U.S. Bonds
03/07/1961,01/07/1961,2,Tossin' And Turnin',Bobby Lewis
03/07/1961,01/07/1961,3,The Boll Weevil Song,Brook Benton
03/07/1961,01/07/1961,4,Raindrops,Dee Clark
03/07/1961,01/07/1961,5,The Writing On The Wall,Adam Wade
03/07/1961,01/07/1961,6,Moody River,Pat Boone
03/07/1961,01/07/1961,7,Travelin' Man,Ricky Nelson
03/07/1961,01/07/1961,8,Every Beat Of My Heart,Pips
03/07/1961,01/07/1961,9,Those Oldies But Goodies (Remind Me Of You),Little Caesar and The Romans
03/07/1961,01/07/1961,10,Yellow Bird,Arthur Lyman Group
03/07/1961,01/07/1961,11,Stand By Me,Ben E. King
03/07/1961,01/07/1961,12,Dance On Little Girl,Paul Anka
03/07/1961,01/07/1961,13,Hats Off To Larry,Del Shannon
03/07/1961,01/07/1961,14,Running Scared,Roy Orbison
03/07/1961,01/07/1961,15,Hello Mary Lou,Ricky Nelson
07/08/1961,01/08/1961,1,Tossin' And Turnin',Bobby Lewis
07/08/1961,01/08/1961,2,"I Like It Like That, Part 1",Chris Kenner
07/08/1961,01/08/1961,3,Last Night,Mar-Keys
07/08/1961,01/08/1961,4,Dum Dum,Brenda Lee
07/08/1961,01/08/1961,5,Hats Off To Larry,Del Shannon
07/08/1961,01/08/1961,6,Together,Connie Francis
07/08/1961,01/08/1961,7,Pretty Little Angel Eyes,Curtis Lee
07/08/1961,01/08/1961,8,Let's Twist Again,Chubby Checker
07/08/1961,01/08/1961,9,Wooden Heart,Joe Dowell
07/08/1961,01/08/1961,10,Michael,The Highwaymen
07/08/1961,01/08/1961,11,The Boll Weevil Song,Brook Benton
07/08/1961,01/08/1961,12,Quarter To Three,U.S. Bonds
07/08/1961,01/08/1961,13,Never On Sunday,The Chordettes
07/08/1961,01/08/1961,14,I'll Be There,Damita Jo
07/08/1961,01/08/1961,15,You Don't Know What You've Got (Until You Lose It),Ral Donner
04/09/1961,01/09/1961,1,Michael,The Highwaymen
04/09/1961,01/09/1961,2,Wooden Heart,Joe Dowell
04/09/1961,01/09/1961,3,Tossin' And Turnin',Bobby Lewis
04/09/1961,01/09/1961,4,You Don't Know What You've Got (Until You Lose It),Ral Donner
04/09/1961,01/09/1961,5,School Is Out,Gary U.S. Bonds
04/09/1961,01/09/1961,6,Take Good Care Of My Baby,Bobby Vee
04/09/1961,01/09/1961,7,My True Story,The Jive Five With Joe Rene And Orchestra
04/09/1961,01/09/1961,8,Hurt,Timi Yuro
04/09/1961,01/09/1961,9,Don't Bet Money Honey,Linda Scott
04/09/1961,01/09/1961,10,As If I Didn't Know,Adam Wade
04/09/1961,01/09/1961,11,Does Your Chewing Gum Lose It's Flavor (On The Bedpost Over Night),Lonnie Donegan And His Skiffle Group
04/09/1961,01/09/1961,12,I Fall To Pieces,Patsy Cline
04/09/1961,01/09/1961,13,Last Night,Mar-Keys
04/09/1961,01/09/1961,14,"Who Put The Bomp (In The Bomp, Bomp, Bomp)",Barry Mann
04/09/1961,01/09/1961,15,Little Sister,Elvis Presley
02/10/1961,01/10/1961,1,Take Good Care Of My Baby,Bobby Vee
02/10/1961,01/10/1961,2,The Mountain's High,Dick and DeeDee
02/10/1961,01/10/1961,3,Crying,Roy Orbison
02/10/1961,01/10/1961,4,Hit The Road Jack,Ray Charles and his Orchestra
02/10/1961,01/10/1961,5,Little Sister,Elvis Presley
02/10/1961,01/10/1961,6,Michael,The Highwaymen
02/10/1961,01/10/1961,7,Mexico,Bob Moore and His Orch.
02/10/1961,01/10/1961,8,You Must Have Been A Beautiful Baby,Bobby Darin
02/10/1961,01/10/1961,9,Does Your Chewing Gum Lose It's Flavor (On The Bedpost Over Night),Lonnie Donegan And His Skiffle Group
02/10/1961,01/10/1961,10,Bristol Stomp,The Dovells
02/10/1961,01/10/1961,11,"Who Put The Bomp (In The Bomp, Bomp, Bomp)",Barry Mann
02/10/1961,01/10/1961,12,Without You,Johnny Tillotson
02/10/1961,01/10/1961,13,One Track Mind,Bobby Lewis
02/10/1961,01/10/1961,14,Ya Ya,Lee Dorsey
02/10/1961,01/10/1961,15,Let's Get Together,Hayley Mills and Hayley Mills
06/11/1961,01/11/1961,1,Big Bad John,Jimmy Dean
06/11/1961,01/11/1961,2,Runaround Sue,Dion
06/11/1961,01/11/1961,3,Bristol Stomp,The Dovells
06/11/1961,01/11/1961,4,Hit The Road Jack,Ray Charles and his Orchestra
06/11/1961,01/11/1961,5,Fool #1,Brenda Lee
06/11/1961,01/11/1961,6,Sad Movies (Make Me Cry),Sue Thompson
06/11/1961,01/11/1961,7,This Time,Troy Shondell
06/11/1961,01/11/1961,8,The Fly,Chubby Checker
06/11/1961,01/11/1961,9,I Love How You Love Me,The Paris Sisters
06/11/1961,01/11/1961,10,Tower Of Strength,Gene McDaniels
06/11/1961,01/11/1961,11,Let's Get Together,Hayley Mills and Hayley Mills
06/11/1961,01/11/1961,12,Ya Ya,Lee Dorsey
06/11/1961,01/11/1961,13,A Wonder Like You,Rick Nelson
06/11/1961,01/11/1961,14,The Way You Look Tonight,The Lettermen
06/11/1961,01/11/1961,15,You're The Reason,Bobby Edwards
04/12/1961,01/12/1961,1,Big Bad John,Jimmy Dean
04/12/1961,01/12/1961,2,Please Mr. Postman,The Marvelettes
04/12/1961,01/12/1961,3,Goodbye Cruel World,James Darren
04/12/1961,01/12/1961,4,Runaround Sue,Dion
04/12/1961,01/12/1961,5,Fool #1,Brenda Lee
04/12/1961,01/12/1961,6,The Twist,Chubby Checker
04/12/1961,01/12/1961,7,Walk On By,Leroy Van Dyke
04/12/1961,01/12/1961,8,Tower Of Strength,Gene McDaniels
04/12/1961,01/12/1961,9,I Understand (Just How You Feel),The G-Clefs
04/12/1961,01/12/1961,10,Crazy,Patsy Cline
04/12/1961,01/12/1961,11,Run To Him,Bobby Vee
04/12/1961,01/12/1961,12,Tonight,Ferrante & Teicher
04/12/1961,01/12/1961,13,Heartaches,The Marcels
04/12/1961,01/12/1961,14,Moon River,Jerry Butler
04/12/1961,01/12/1961,15,The Fly,Chubby Checker
06/01/1962,01/01/1962,1,The Lion Sleeps Tonight,The Tokens
06/01/1962,01/01/1962,2,The Twist,Chubby Checker
06/01/1962,01/01/1962,3,Run To Him,Bobby Vee
06/01/1962,01/01/1962,4,Peppermint Twist - Part I,Joey Dee & the Starliters
06/01/1962,01/01/1962,5,Can't Help Falling In Love,Elvis Presley With The Jordanaires
06/01/1962,01/01/1962,6,"Happy Birthday, Sweet Sixteen",Neil Sedaka
06/01/1962,01/01/1962,7,Goodbye Cruel World,James Darren
06/01/1962,01/01/1962,8,Walk On By,Leroy Van Dyke
06/01/1962,01/01/1962,9,When I Fall In Love,The Lettermen
06/01/1962,01/01/1962,10,Unchain My Heart,Ray Charles and his Orchestra
06/01/1962,01/01/1962,11,When The Boy In Your Arms (Is The Boy In Your Heart),Connie Francis
06/01/1962,01/01/1962,12,White Christmas,Bing Crosby
06/01/1962,01/01/1962,13,Please Mr. Postman,The Marvelettes
06/01/1962,01/01/1962,14,'Til,The Angels
06/01/1962,01/01/1962,15,I Know (You Don't Love Me No More),Barbara George
03/02/1962,01/02/1962,1,Peppermint Twist - Part I,Joey Dee & the Starliters
03/02/1962,01/02/1962,2,Can't Help Falling In Love,Elvis Presley With The Jordanaires
03/02/1962,01/02/1962,3,The Twist,Chubby Checker
03/02/1962,01/02/1962,4,Norman,Sue Thompson
03/02/1962,01/02/1962,5,I Know (You Don't Love Me No More),Barbara George
03/02/1962,01/02/1962,6,The Wanderer,Dion
03/02/1962,01/02/1962,7,Duke Of Earl,Gene Chandler
03/02/1962,01/02/1962,8,Baby It's You,The Shirelles
03/02/1962,01/02/1962,9,Break It To Me Gently,Brenda Lee
03/02/1962,01/02/1962,10,The Lion Sleeps Tonight,The Tokens
03/02/1962,01/02/1962,11,Dear Lady Twist,Gary U.S. Bonds
03/02/1962,01/02/1962,12,A Little Bitty Tear,Burl Ives
03/02/1962,01/02/1962,13,Town Without Pity,Gene Pitney
03/02/1962,01/02/1962,14,When I Fall In Love,The Lettermen
03/02/1962,01/02/1962,15,Run To Him,Bobby Vee
03/03/1962,01/03/1962,1,Duke Of Earl,Gene Chandler
03/03/1962,01/03/1962,2,Hey! Baby,Bruce Channel
03/03/1962,01/03/1962,3,The Wanderer,Dion
03/03/1962,01/03/1962,4,Break It To Me Gently,Brenda Lee
03/03/1962,01/03/1962,5,The Twist,Chubby Checker
03/03/1962,01/03/1962,6,Crying In The Rain,The Everly Brothers
03/03/1962,01/03/1962,7,Norman,Sue Thompson
03/03/1962,01/03/1962,8,Midnight In Moscow,Kenny Ball and his Jazzmen
03/03/1962,01/03/1962,9,Peppermint Twist - Part I,Joey Dee & the Starliters
03/03/1962,01/03/1962,10,Chip Chip,Gene McDaniels
03/03/1962,01/03/1962,11,Dear Lady Twist,Gary U.S. Bonds
03/03/1962,01/03/1962,12,Let Me In,The Sensations
03/03/1962,01/03/1962,13,Don't Break The Heart That Loves You,Connie Francis
03/03/1962,01/03/1962,14,A Little Bitty Tear,Burl Ives
03/03/1962,01/03/1962,15,Baby It's You,The Shirelles
07/04/1962,01/04/1962,1,Johnny Angel,Shelley Fabares
07/04/1962,01/04/1962,2,Don't Break The Heart That Loves You,Connie Francis
07/04/1962,01/04/1962,3,Good Luck Charm,Elvis Presley With The Jordanaires
07/04/1962,01/04/1962,4,Slow Twistin',Chubby Checker (with Dee Dee Sharp)
07/04/1962,01/04/1962,5,Dream Baby (How Long Must I Dream),Roy Orbison
07/04/1962,01/04/1962,6,Hey! Baby,Bruce Channel
07/04/1962,01/04/1962,7,Midnight In Moscow,Kenny Ball and his Jazzmen
07/04/1962,01/04/1962,8,Young World,Rick Nelson
07/04/1962,01/04/1962,9,Love Letters,Ketty Lester
07/04/1962,01/04/1962,10,Mashed Potato Time,Dee Dee Sharp
07/04/1962,01/04/1962,11,What's Your Name,Don & Juan
07/04/1962,01/04/1962,12,Love Me Warm And Tender,Paul Anka
07/04/1962,01/04/1962,13,Let Me In,The Sensations
07/04/1962,01/04/1962,14,Twistin' The Night Away,Sam Cooke
07/04/1962,01/04/1962,15,Please Don't Ask About Barbara,Bobby Vee
05/05/1962,01/05/1962,1,Soldier Boy,The Shirelles
05/05/1962,01/05/1962,2,Mashed Potato Time,Dee Dee Sharp
05/05/1962,01/05/1962,3,Johnny Angel,Shelley Fabares
05/05/1962,01/05/1962,4,Stranger On The Shore,Mr. Acker Bilk
05/05/1962,01/05/1962,5,Good Luck Charm,Elvis Presley With The Jordanaires
05/05/1962,01/05/1962,6,Shout - Part I,Joey Dee & the Starliters
05/05/1962,01/05/1962,7,Lover Please,Clyde McPhatter
05/05/1962,01/05/1962,8,Slow Twistin',Chubby Checker (with Dee Dee Sharp)
05/05/1962,01/05/1962,9,P.T. 109,Jimmy Dean
05/05/1962,01/05/1962,10,"Twist, Twist Senora",Gary U.S. Bonds
05/05/1962,01/05/1962,11,Young World,Rick Nelson
05/05/1962,01/05/1962,12,Dear One,Larry Finnegan
05/05/1962,01/05/1962,13,She Cried,Jay & The Americans
05/05/1962,01/05/1962,14,Funny Way Of Laughin',Burl Ives
05/05/1962,01/05/1962,15,Old Rivers,Walter Brennan
02/06/1962,01/06/1962,1,I Can't Stop Loving You,Ray Charles
02/06/1962,01/06/1962,2,Stranger On The Shore,Mr. Acker Bilk
02/06/1962,01/06/1962,3,Soldier Boy,The Shirelles
02/06/1962,01/06/1962,4,Lovers Who Wander,Dion
02/06/1962,01/06/1962,5,Mashed Potato Time,Dee Dee Sharp
02/06/1962,01/06/1962,6,Everybody Loves Me But You,Brenda Lee
02/06/1962,01/06/1962,7,Shout! Shout! (Knock Yourself Out),Ernie Maresca
02/06/1962,01/06/1962,8,Old Rivers,Walter Brennan
02/06/1962,01/06/1962,9,The One Who Really Loves You,Mary Wells
02/06/1962,01/06/1962,10,(The Man Who Shot) Liberty Valance,Gene Pitney
02/06/1962,01/06/1962,11,Conscience,James Darren
02/06/1962,01/06/1962,12,It Keeps Right On A-Hurtin',Johnny Tillotson
02/06/1962,01/06/1962,13,Uptown,The Crystals
02/06/1962,01/06/1962,14,She Cried,Jay & The Americans
02/06/1962,01/06/1962,15,I Sold My Heart To The Junkman,The Blue-Belles
07/07/1962,01/07/1962,1,The Stripper,David Rose and His Orchestra
07/07/1962,01/07/1962,2,Roses Are Red (My Love),Bobby Vinton
07/07/1962,01/07/1962,3,I Can't Stop Loving You,Ray Charles
07/07/1962,01/07/1962,4,Palisades Park,Freddy Cannon
07/07/1962,01/07/1962,5,It Keeps Right On A-Hurtin',Johnny Tillotson
07/07/1962,01/07/1962,6,Al Di La',Emilio Pericoli
07/07/1962,01/07/1962,7,Wolverton Mountain,Claude King
07/07/1962,01/07/1962,8,Snap Your Fingers,Joe Henderson
07/07/1962,01/07/1962,9,Johnny Get Angry,Joanie Sommers
07/07/1962,01/07/1962,10,Playboy,The Marvelettes
07/07/1962,01/07/1962,11,Cindy's Birthday,Johnny Crawford
07/07/1962,01/07/1962,12,Sealed With A Kiss,Brian Hyland
07/07/1962,01/07/1962,13,A Steel Guitar And A Glass Of Wine,Paul Anka
07/07/1962,01/07/1962,14,The Wah Watusi,The Orlons
07/07/1962,01/07/1962,15,Sharing You,Bobby Vee
04/08/1962,01/08/1962,1,Roses Are Red (My Love),Bobby Vinton
04/08/1962,01/08/1962,2,Breaking Up Is Hard To Do,Neil Sedaka
04/08/1962,01/08/1962,3,Sealed With A Kiss,Brian Hyland
04/08/1962,01/08/1962,4,The Wah Watusi,The Orlons
04/08/1962,01/08/1962,5,"Ahab, The Arab",Ray Stevens
04/08/1962,01/08/1962,6,Speedy Gonzales,Pat Boone
04/08/1962,01/08/1962,7,I Can't Stop Loving You,Ray Charles
04/08/1962,01/08/1962,8,The Loco-Motion,Little Eva
04/08/1962,01/08/1962,9,The Stripper,David Rose and His Orchestra
04/08/1962,01/08/1962,10,Theme From Dr. Kildare (Three Stars Will Shine Tonight),Richard Chamberlain
04/08/1962,01/08/1962,11,Wolverton Mountain,Claude King
04/08/1962,01/08/1962,12,Dancin' Party,Chubby Checker
04/08/1962,01/08/1962,13,You'll Lose A Good Thing,Barbara Lynn
04/08/1962,01/08/1962,14,Johnny Get Angry,Joanie Sommers
04/08/1962,01/08/1962,15,Gravy (For My Mashed Potatoes),Dee Dee Sharp
01/09/1962,01/09/1962,1,Sheila,Tommy Roe
01/09/1962,01/09/1962,2,The Loco-Motion,Little Eva
01/09/1962,01/09/1962,3,Breaking Up Is Hard To Do,Neil Sedaka
01/09/1962,01/09/1962,4,You Don't Know Me,Ray Charles
01/09/1962,01/09/1962,5,Party Lights,Claudine Clark
01/09/1962,01/09/1962,6,She's Not You,Elvis Presley With The Jordanaires
01/09/1962,01/09/1962,7,Things,Bobby Darin
01/09/1962,01/09/1962,8,Roses Are Red (My Love),Bobby Vinton
01/09/1962,01/09/1962,9,Vacation,Connie Francis
01/09/1962,01/09/1962,10,Little Diane,Dion
01/09/1962,01/09/1962,11,Ramblin' Rose,Nat King Cole
01/09/1962,01/09/1962,12,What's A Matter Baby (Is It Hurting You),Timi Yuro
01/09/1962,01/09/1962,13,"Ahab, The Arab",Ray Stevens
01/09/1962,01/09/1962,14,Your Nose Is Gonna Grow,Johnny Crawford
01/09/1962,01/09/1962,15,A Swingin' Safari,Billy Vaughn And His Orchestra
06/10/1962,01/10/1962,1,Sherry,The 4 Seasons
06/10/1962,01/10/1962,2,Monster Mash,"Bobby ""Boris"" Pickett And The Crypt-Kickers"
06/10/1962,01/10/1962,3,Ramblin' Rose,Nat King Cole
06/10/1962,01/10/1962,4,Let's Dance,Chris Montez
06/10/1962,01/10/1962,5,Green Onions,Booker T. & The MG's
06/10/1962,01/10/1962,6,Patches,Dickey Lee
06/10/1962,01/10/1962,7,Venus In Blue Jeans,Jimmy Clanton
06/10/1962,01/10/1962,8,I Remember You,Frank Ifield
06/10/1962,01/10/1962,9,Alley Cat,Bent Fabric and His Piano
06/10/1962,01/10/1962,10,You Beat Me To The Punch,Mary Wells
06/10/1962,01/10/1962,11,Sheila,Tommy Roe
