date,dates,rank,song,artist
01/02/1960,01/02/1960,12,What In The World's Come Over You,Jack Scott
01/02/1960,01/02/1960,13,You Got What It Takes,Marv Johnson
01/02/1960,01/02/1960,14,Lonely Blue Boy,Conway Twitty
01/02/1960,01/02/1960,15,Down By The Station,The Four Preps
07/03/1960,01/03/1960,1,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra
07/03/1960,01/03/1960,2,He'll Have To Go,Jim Reeves
07/03/1960,01/03/1960,3,Handy Man,Jimmy Jones
07/03/1960,01/03/1960,4,Wild One,Bobby Rydell
07/03/1960,01/03/1960,5,What In The World's Come Over You,Jack Scott
07/03/1960,01/03/1960,6,Teen Angel,Mark Dinning
07/03/1960,01/03/1960,7,Beyond The Sea,Bobby Darin
07/03/1960,01/03/1960,8,Baby (You've Got What It Takes),Dinah Washington & Brook Benton
07/03/1960,01/03/1960,9,Let It Be Me,The Everly Brothers
07/03/1960,01/03/1960,10,Running Bear,Johnny Preston
07/03/1960,01/03/1960,11,Forever,The Little Dippers
07/03/1960,01/03/1960,12,Harbor Lights,The Platters
07/03/1960,01/03/1960,13,Sweet Nothin's,Brenda Lee
07/03/1960,01/03/1960,14,Lonely Blue Boy,Conway Twitty
07/03/1960,01/03/1960,15,Where Or When,Dion & The Belmonts
04/04/1960,01/04/1960,1,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra
04/04/1960,01/04/1960,2,Puppy Love,Paul Anka
04/04/1960,01/04/1960,3,Wild One,Bobby Rydell
04/04/1960,01/04/1960,4,He'll Have To Go,Jim Reeves
04/04/1960,01/04/1960,5,Sweet Nothin's,Brenda Lee
04/04/1960,01/04/1960,6,Sink The Bismark,Johnny Horton
04/04/1960,01/04/1960,7,Footsteps,Steve Lawrence
04/04/1960,01/04/1960,8,Harbor Lights,The Platters
04/04/1960,01/04/1960,9,Mama,Connie Francis
04/04/1960,01/04/1960,10,Baby (You've Got What It Takes),Dinah Washington & Brook Benton
04/04/1960,01/04/1960,11,O Dio Mio,Annette
04/04/1960,01/04/1960,12,Greenfields,The Brothers Four
04/04/1960,01/04/1960,13,Handy Man,Jimmy Jones
04/04/1960,01/04/1960,14,I Love The Way You Love,Marv Johnson
04/04/1960,01/04/1960,15,White Silver Sands,Bill Black's Combo
02/05/1960,01/05/1960,1,Stuck On You,Elvis Presley With The Jordanaires
02/05/1960,01/05/1960,2,Greenfields,The Brothers Four
02/05/1960,01/05/1960,3,Sixteen Reasons,Connie Stevens
02/05/1960,01/05/1960,4,Sink The Bismark,Johnny Horton
02/05/1960,01/05/1960,5,The Old Lamplighter,The Browns Featuring Jim Edward Brown
02/05/1960,01/05/1960,6,Night,Jackie Wilson
02/05/1960,01/05/1960,7,Cradle Of Love,Johnny Preston
02/05/1960,01/05/1960,8,Let The Little Girl Dance,Billy Bland
02/05/1960,01/05/1960,9,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra
02/05/1960,01/05/1960,10,Sweet Nothin's,Brenda Lee
02/05/1960,01/05/1960,11,Stairway To Heaven,Neil Sedaka
02/05/1960,01/05/1960,12,He'll Have To Go,Jim Reeves
02/05/1960,01/05/1960,13,I Love The Way You Love,Marv Johnson
02/05/1960,01/05/1960,14,White Silver Sands,Bill Black's Combo
02/05/1960,01/05/1960,15,Cathy's Clown,The Everly Brothers
06/06/1960,01/06/1960,1,Cathy's Clown,The Everly Brothers
06/06/1960,01/06/1960,2,Stuck On You,Elvis Presley With The Jordanaires
06/06/1960,01/06/1960,3,Good Timin',Jimmy Jones
06/06/1960,01/06/1960,4,He'll Have To Stay,Jeanne Black
06/06/1960,01/06/1960,5,Burning Bridges,Jack Scott
06/06/1960,01/06/1960,6,Paper Roses,Anita Bryant
06/06/1960,01/06/1960,7,Night,Jackie Wilson
06/06/1960,01/06/1960,8,Everybody's Somebody's Fool,Connie Francis
06/06/1960,01/06/1960,9,Love You So,Ron Holden with The Thunderbirds
06/06/1960,01/06/1960,10,Greenfields,The Brothers Four
06/06/1960,01/06/1960,11,Sixteen Reasons,Connie Stevens
06/06/1960,01/06/1960,12,Cradle Of Love,Johnny Preston
06/06/1960,01/06/1960,13,Swingin' School,Bobby Rydell
06/06/1960,01/06/1960,14,Young Emotions,Ricky Nelson
06/06/1960,01/06/1960,15,Let The Little Girl Dance,Billy Bland
04/07/1960,01/07/1960,1,Everybody's Somebody's Fool,Connie Francis
04/07/1960,01/07/1960,2,Alley-Oop,Hollywood Argyles
04/07/1960,01/07/1960,3,I'm Sorry,Brenda Lee
04/07/1960,01/07/1960,4,Because They're Young,Duane Eddy And The Rebels
04/07/1960,01/07/1960,5,Cathy's Clown,The Everly Brothers
04/07/1960,01/07/1960,6,That's All You Gotta Do,Brenda Lee
04/07/1960,01/07/1960,7,Burning Bridges,Jack Scott
04/07/1960,01/07/1960,8,My Home Town,Paul Anka
04/07/1960,01/07/1960,9,Mule Skinner Blues,The Fendermen
04/07/1960,01/07/1960,10,A Rockin' Good Way (To Mess Around And Fall In Love),Dinah Washington & Brook Benton
04/07/1960,01/07/1960,11,Only The Lonely (Know How I Feel),Roy Orbison
04/07/1960,01/07/1960,12,Wonderful World,Sam Cooke
04/07/1960,01/07/1960,13,Paper Roses,Anita Bryant
04/07/1960,01/07/1960,14,Happy-Go-Lucky-Me,Paul Evans
04/07/1960,01/07/1960,15,Alley-Oop,Dante and the Evergreens
01/08/1960,01/08/1960,1,I'm Sorry,Brenda Lee
